yearID,teamID,lgID,playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr
2004,MIN,AL,bowenro01,17,8,17,15,0,15,0,0,0,0,0,0,0,0,0,1,1
2004,MIN,AL,crainje01,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,
2004,MIN,AL,durbijd01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
2004,MIN,AL,kubelja01,23,13,23,10,0,0,0,0,0,0,2,0,8,10,7,7,0
2004,MIN,AL,mauerjo01,35,30,35,32,0,32,0,0,0,0,0,0,0,0,1,5,0
2004,MIN,AL,morneju01,74,72,74,61,0,0,61,0,0,0,0,0,0,0,11,2,0
2004,MON,NL,bentzch01,36,0,35,36,36,0,0,0,0,0,0,0,0,0,0,0,0
2004,MON,NL,corcoro01,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
2004,MON,NL,cordech01,69,0,67,69,69,0,0,0,0,0,0,0,0,0,0,0,0
2004,MON,NL,harribr01,20,13,20,14,0,0,0,11,4,0,0,0,0,0,0,7,0
2004,MON,NL,hillsh01,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2004,MON,NL,izturma01,32,30,32,31,0,0,0,10,0,23,0,0,0,0,0,1,0
2004,MON,NL,majewga01,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2004,NYA,AL,halsebr01,8,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0
2004,NYA,AL,navardi01,5,1,5,4,0,4,0,0,0,0,0,0,0,0,0,1,0
2004,NYN,NL,brazecr01,24,3,24,7,0,0,7,0,0,0,0,0,0,0,0,18,0
2004,NYN,NL,diazvi01,15,12,15,14,0,0,0,0,0,0,0,0,14,14,0,2,0
2004,NYN,NL,garcida03,58,40,58,44,0,0,0,44,0,0,0,0,0,0,0,14,0
2004,NYN,NL,keppije01,33,27,33,32,0,0,0,32,0,0,0,0,0,0,0,3,0
2004,NYN,NL,reyesjo01,53,48,53,50,0,0,0,43,0,10,0,0,0,0,0,4,0
2004,NYN,NL,wrighda03,69,68,69,69,0,0,0,0,69,0,0,0,0,0,0,0,1
2004,OAK,AL,blantjo01,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,
2004,OAK,AL,crosbbo01,151,151,151,151,0,0,0,0,0,151,0,0,0,0,0,0,0
2004,OAK,AL,garcija01,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,
2004,OAK,AL,harderi01,31,2,2,31,31,0,0,0,0,0,0,0,0,0,0,0,0
2004,OAK,AL,swishni01,20,18,20,17,0,0,3,0,0,0,12,1,4,16,2,1,1
2004,PHI,NL,floydga01,6,4,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2004,PHI,NL,madsory01,52,0,49,52,52,0,0,0,0,0,0,0,0,0,0,0,0
2004,PHI,NL,myersbr01,32,28,29,32,32,0,0,0,0,0,0,0,0,0,0,0,0
2004,PHI,NL,ramirel01,7,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2004,PIT,NL,bautijo02,23,9,23,12,0,0,0,0,0,0,0,3,9,12,0,12,0
2004,PIT,NL,burnese01,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0
2004,PIT,NL,castijo02,129,105,129,124,0,0,0,123,0,2,0,0,0,0,0,4,1
2004,PIT,NL,perezol01,31,29,30,30,30,0,0,0,0,0,0,0,0,0,0,0,1
2004,PIT,NL,snellia01,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2004,PIT,NL,vanbejo01,6,5,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2004,SDN,NL,burrose01,130,119,130,125,0,0,0,0,125,0,0,0,0,0,0,6,1
2004,SDN,NL,germaju01,7,5,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2004,SDN,NL,guzmafr01,20,16,20,17,0,0,0,0,0,0,0,17,0,17,0,1,2
2004,SDN,NL,peavyja01,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0
2004,SEA,AL,baekch01,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,
2004,SEA,AL,blacktr01,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,
2004,SEA,AL,lopezjo01,57,55,57,57,0,0,0,0,1,57,0,0,0,0,0,0,1
2004,SEA,AL,nageocl01,12,1,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2004,SEA,AL,reedje03,18,14,18,16,0,0,0,0,0,0,1,16,0,16,0,3,0
2004,SEA,AL,riverre01,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0
2004,SFN,NL,aardsda01,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
2004,SFN,NL,correke01,12,1,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
2004,SFN,NL,foppeje01,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2004,SFN,NL,hennebr01,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0
2004,SFN,NL,knoedju01,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2004,SFN,NL,lindeto01,16,6,16,11,0,0,0,0,0,0,7,0,4,11,0,6,1
2004,SFN,NL,lowryno01,16,13,14,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2004,SFN,NL,valdeme01,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2004,SFN,NL,willije02,22,20,20,22,22,0,0,0,0,0,0,0,0,0,0,0,0
2004,SLN,NL,harenda01,14,5,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0
2004,SLN,NL,lunahe01,83,37,83,64,0,0,0,19,16,24,8,2,0,10,0,28,2
2004,SLN,NL,molinya01,51,39,51,51,0,51,0,0,0,0,0,0,0,0,0,1,0
2004,SLN,NL,pujolal01,154,153,154,150,0,0,150,0,0,0,0,0,0,0,3,1,0
2004,TBA,AL,baldero01,136,131,136,124,0,0,0,0,0,0,0,124,0,124,11,1,2
2004,TBA,AL,bautijo02,12,3,12,10,0,0,0,0,2,0,5,0,3,8,0,0,6
2004,TBA,AL,brazede01,22,1,1,22,22,0,0,0,0,0,0,0,0,0,0,0,0
2004,TBA,AL,cantujo01,50,46,50,45,0,0,0,33,11,1,0,0,0,0,3,1,2
2004,TBA,AL,crawfca02,152,145,152,146,0,0,0,0,0,0,123,30,0,146,4,4,1
2004,TBA,AL,gathrjo01,19,14,19,16,0,0,0,0,0,0,4,11,1,16,0,2,1
