playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
perezfe01,2008,TBA,AL,ALCS,RF,1,1,27,0,0,0,0,0,,,
priceda01,2008,TBA,AL,ALCS,P,3,0,7,0,0,0,0,0,,0,0
shielja02,2008,TBA,AL,ALCS,P,2,2,39,1,2,0,0,0,,0,0
sonnaan01,2008,TBA,AL,ALCS,P,1,1,22,0,2,0,0,0,,0,0
uptonbj01,2008,TBA,AL,ALCS,CF,7,7,194,33,0,1,0,0,,,
zobribe01,2008,TBA,AL,ALCS,RF,2,0,21,1,0,0,0,0,,,
zobribe01,2008,TBA,AL,ALCS,SS,1,0,3,0,0,0,0,0,,,
beckejo02,2008,BOS,AL,ALDS1,P,1,1,15,0,0,0,0,0,,2,0
delcama01,2008,BOS,AL,ALDS1,P,2,0,7,0,0,0,0,0,,0,1
ellsbja01,2008,BOS,AL,ALDS1,CF,3,3,81,5,0,0,0,0,,,
ellsbja01,2008,BOS,AL,ALDS1,RF,1,1,36,1,0,0,0,0,,,
lestejo01,2008,BOS,AL,ALDS1,P,2,2,42,1,1,0,0,0,,0,0
lowrije01,2008,BOS,AL,ALDS1,3B,1,0,6,0,0,0,0,0,,,
lowrije01,2008,BOS,AL,ALDS1,SS,3,3,84,3,6,1,0,0,,,
masteju01,2008,BOS,AL,ALDS1,P,4,0,12,1,0,0,0,0,,0,0
matsuda01,2008,BOS,AL,ALDS1,P,1,1,15,0,0,0,0,0,,0,0
papeljo01,2008,BOS,AL,ALDS1,P,3,0,15,0,1,0,0,0,,0,0
pedrodu01,2008,BOS,AL,ALDS1,2B,4,4,117,9,11,0,0,0,,,
arredjo01,2008,LAA,AL,ALDS1,P,3,0,11,0,0,0,0,0,,0,0
aybarer01,2008,LAA,AL,ALDS1,SS,4,4,116,11,9,1,3,0,,,
